Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
0,5412,4588,3149,17,2263,39,117.6923,869,1,1.179487,23,35.73913,87,4
0,5456,4544,4511,13,945,41,106.9268,1124,1,1.439024,27,39.7037,153,4
0,5590,4410,4753,13,837,35,137.3714,1130,1,1.428571,25,31.28,122,4
0,5443,4557,1841,19,3602,36,132.8056,1013,1,1.25,21,31.52381,79,7
0,5643,4357,4441,13,1202,43,109.7209,1113,4,1.325581,27,34.25926,105,8
0,5175,4825,2330,23,2845,48,91.1875,488,1,1.0625,25,31.92,103,2
0,5397,4603,3070,18,2327,44,99.90909,574,1,1.25,27,37.07407,101,6
0,6199,3801,3036,12,3163,28,202.25,1548,1,1.285714,17,31.52941,139,5
0,5436,4564,4696,20,740,47,95.95744,578,1,1.170213,25,37.04,127,4
0,5937,4063,5793,8,144,36,135.6389,738,1,2,31,34,146,7
0,5312,4688,1917,18,3395,45,98.82222,624,1,1.177778,24,36.04167,162,11
1,5474,4526,4490,12,984,30,159.8,1253,4,1.433333,21,32.38095,71,8
2,5441,4559,2847,18,2594,42,115.6667,665,3,1.190476,24,24.29167,98,4
3,5493,4507,4225,12,1268,39,120.1026,738,1,1.589744,31,26.09678,67,6
4,4747,5253,1967,18,2780,36,117.9444,964,1,0.9722222,16,31.3125,68,10
5,5390,4610,4002,16,1388,42,109.0714,618,1,1.047619,19,42.57895,164,8
6,4926,5074,2271,24,2655,45,91.31111,617,1,0.9111111,18,45.38889,125,8
7,5489,4511,4857,11,632,33,144.5455,896,1,1.393939,21,34.23809,91,7
8,5164,4836,1062,16,4102,33,140.8788,500,2,1,16,32.1875,125,5
9,5821,4179,5388,11,433,29,172.6897,997,2,1.689655,23,35.34783,124,3
0,5584,4416,3978,15,1606,42,111.9762,844,2,1.285714,28,31.46428,146,4
1,5287,4713,4047,21,1240,41,110.4878,914,1,1.243902,23,32.91304,98,8
2,5630,4370,4633,17,997,45,101.5333,1299,1,1.355556,31,34.22581,71,4
3,5745,4255,5212,12,533,42,108.0714,829,1,1.642857,32,37.6875,159,6
4,5222,4778,4227,12,995,32,145.3125,867,2,1.3125,19,30.10526,92,8
5,5079,4921,2798,26,2281,42,108.0476,639,1,0.8333333,18,30.05556,77,4
6,5783,4217,3967,15,1816,42,120.2619,1873,5,1.52381,31,23.6129,81,4
7,5221,4779,2034,19,3187,42,105.0952,637,4,1.190476,23,35.08696,96,8
8,5790,4210,5468,14,322,48,96.45834,634,1,1.666667,37,31.35135,125,3
9,5120,4880,2908,14,2212,42,99.59524,447,3,1.261905,23,40.73913,123,11
